labels,text_mg
spam,"Nahazo loka ianao! Tsindrio ity rohy ity hanangona ny loka 500000 MGA izao: http://bit.ly/claim-now"
spam,"Fahazoana tombony maimaim-poana! Mandefasa SMS MITAONA amin'ny 12345 mba hahazoana ny valisoa"
spam,"🎁 Congratulation! Voafantina ianao handray finday vaovao. Antsoy izao: 0341234567"
spam,"Vola maimaim-poana ho anao, tsotra fotsiny: alefaso ny 'WIN' amin'ny 5555"
spam,"Hamarino ny kaontinao amin'ny rohy: http://secure-bank.mg - raha tsy manao izany dia ho voasakana ny kaontinao"
spam,"Mpandresy! Azonao ny 1 tapitrisa Ariary, miantsoa 080012345 ho an'ny fanamarinana (0.99€/min)"
spam,"Tokony hahazo valisoa ianao. Alefaso ny anarana sy ny daty nahaterahana amin'ny 7000"
spam,"Fanambarana haingana: Misy fividianana tsy nankatoavina tamin'ny kaontinao. Tsindrio izao: http://bank-alert.mg"
spam,"Hahazo vola amin'ny mpanome tolotra vaovao ianao! Fenoy ny antsipiriany eto: http://pay.mg/form"
spam,"Misy fanomezana manokana ho an'ny mpanjifa rehetra - mandefasa OK amin'ny 2222 izao"
spam,"SMS fampanantenana: Tombony 50% amin'ny fivarotana lehibe - tsindrio ny rohy hamandrika"
spam,"Araho ny toromarika mba hahazoana ny valisoa: antsoy ny 091234567 ho an'ny fampahalalana fanampiny"
spam,"Fanomezana vola: Azonao atao ny mitaky bonus amin'ny 4444 anio ihany"
spam,"Raha te-hanara-maso ny entana, alefaso ny kaody ORD123 amin'ny 3333"
spam,"Mandresy tsy tapaka! Valio ity SMS ity miaraka amin'ny teny 'CLAIM'"
spam,"Voarainay ny fangatahanao - antsoy ny 0800-111-222 mba hanamarina ny fampanantenana"
spam,"Azafady, manavao ny mombamomba anao eto: http://update-profile.mg mba hitazonana ny serivisy"
spam,"Misaotra! Nahazo ny loka ianao. Mba avereno ny kaody fampiharana amin'ny 6666"
spam,"Antsoy maika: 034 555 123 raha mila fanazavana momba ny tolotra vaovao"
spam,"Tsiambaratelo: fomba hahazoana vola haingana - tsindrio eto: http://quickcash.mg"
ham,"Miarahaba, afaka miresaka kely ve aho rahampitso maraina?"
ham,"Aza adino fa mihaona amin'i Hery isika amin'ny 17:30 ao amin'ny kafe mahazatra"
ham,"Nividy laoka tao amin'ny tsena aho, ho avy any amin'ny 18:00 aho"
ham,"Tsara ny andro androany, andao hisakafo hariva miaraka amin'ny fianakaviana"
ham,"Azafady, lazao amiko raha afaka mandefa ny antontan-taratasy ianao amin'ny faran'ny herinandro"
ham,"Misaotra tamin'ny hafatrao, ho hitantsika rahampitso fa miresaka momba ny tetikasa"
ham,"Tao an-tokantrano izao aho, miantso raha misy zavatra ilaina"
ham,"Aza manahy, efa nandoa ny faktiora aho androany maraina"
ham,"Ampidiro azafady ny adiresy amin'ny fanaterana: Lot 12, Andohalo"
ham,"Mahafinaritra ilay sary nalefanao, misaotra nizara izany"
ham,"Ampahatsiahivo ahy amin'ny 09:00 raha mbola mila mihaona isika"
ham,"Tsara be ilay fampisehoana omaly, misaotra nampanasa ahy"
ham,"Mifandray amin'ny mpivarotra aho momba ny haben'ny entana, hamerina aminao tsy ho ela"
ham,"Efa nandefa ny fanasana ho an'ny fety aho, ho avy ve ianao amin'ny Asabotsy?"
ham,"Ny ray aman-dreniko dia tsara, misaotra nanontany"
ham,"Afaka mandefa sary aho avy amin'ny fety raha tianao"
ham,"Mifandraisa amiko amin'ny 034765432 raha mila zavatra miavaka"
ham,"Tsarovy ny misotro rano rehefa miasa be ianao"
ham,"Manantena aho fa ho avy ianao amin'ny fivoriana rahampitso"
ham,"Efa nampiasa ny traikefa momba ilay vokatra aho, tsara tokoa izy io"
ham,"Ampahafantaro ahy raha ilaina ny fanampiana amin'ny taratasy"
ham,"Faly be aho nihaona taminao omaly, misaotra ny fotoana"
ham,"Azoko tsara ny hafatrao, hamerina valiny tsy ho ela aho"
ham,"Mipetraka ao amin'ny faritra Antananarivo aho, mahafinaritra ny tanàna"
ham,"Mila manova ny fotoana fivoriana isika, afaka amin'ny 16:00 aho"
ham,"Efa nividy tapakila ho an'ny fampisehoana aho, hitanao ve ny antsipiriany?"
ham,"Aza adino ny mitondra akanjo mafana raha misy rivotra"
